COUNTRY,lst,rain,ndvi,dsr,pressure,temp,wind_u,wind_v,no2,o3,so2,uv,co,hoco,year,gdp,x,y
Lesotho,-0.530058533312535,-0.476798597763037,-0.637523710859918,0.738307639742745,-2.873310574077857,-0.773266043014766,0.684921801993938,-0.817939936960641,-0.404591394655643,-0.57845826146205,0.873855095478332,-0.523063110319996,-1.943227408378249,-0.284748151313107,-3.125919130565856,-0.23773589668287035,28.24301119443835,-29.580999303636936
Central African Republic,0.433561261448544,0.025913908546265,0.874328186193049,0.716363631133516,-0.227196435761493,0.866688264673263,0.308276601518318,0.312889256228371,0.083958426062155,-0.634147300241035,-0.849595514804077,-0.054848464444841,1.719122052930435,2.241467301338232,-2.791553112715649,-0.2378068389051608,20.482966878857642,6.571232170996405
Somalia,1.268312112900604,-0.939958006010624,-1.160248003972989,1.223503701229208,0.153246159718121,0.922504724582385,-0.008270134047433,2.097326651694569,-0.808622332348622,-0.688592806230817,-0.744542731355919,0.176319526629788,-0.382221274226485,-0.558697277276214,-2.312058014777268,-0.23417608417682687,45.86259002813974,6.0637232346457015
Eswatini,-0.294345199844004,-0.438971833639942,0.326126135654329,-0.216186370182262,-0.376893642424865,0.019175521980676,-0.012131574670685,-0.117619051471174,2.264271264905219,-0.524147205646426,2.527723553757312,-0.771079028664428,-0.761653264484197,1.165614504363719,-2.132780915844817,-0.2366746563405839,31.4975296480641,-26.56264163155773
Mozambique,0.462118398526788,-0.177634964446864,0.41392048663823,0.282099912801252,0.303436445122594,0.590213696539186,-0.493216340116578,0.955917760204086,-0.175965447322563,-0.618014698235218,-0.796392497437347,-0.799131451225491,-0.232153632971877,0.545280579115859,-2.074444716985844,-0.2311035255930874,35.55219980333295,-17.260054978566522
Chad,1.191417550501203,-1.011367577022977,-1.328911301029654,1.632670453280778,-0.050540076063129,0.992225161982459,-0.66620608303715,-1.100524715576142,-0.389358926413268,-0.770056320473305,-0.678924335885032,2.414165368998586,0.188972403972437,0.062726942582716,-1.862442433327627,-0.23322061637251212,18.66447909367093,15.36116632061913
Guinea-Bissau,0.911537314819196,-0.004406322694069,0.431387386707809,1.08293431042963,0.946303812207202,1.029795139478754,0.821277470886904,-0.03899524991269,-0.115651074401926,-0.732740841876795,-0.620752538346772,0.790430185756953,1.187310693763509,2.274416332291321,-1.778495220335448,-0.23820105688039261,-14.965216953730826,12.030308520994033
Zimbabwe,0.393030196543504,-0.675449658856108,-0.319871519108958,0.901476118132973,-0.87445961957513,0.359692622743402,-1.051214130901484,0.11967860913425,-0.318400269092041,-0.648574662774472,-0.611480190836048,-0.615791815939007,-0.464188560472428,0.815349220827041,-1.713044850883918,-0.22791640899125037,29.871837765941585,-19.000097827580475
Sierra Leone,0.621130766772179,2.186321057548461,0.978194994734127,0.324379305575131,0.624836183322456,0.849195349791645,0.814169921636135,0.889484847571124,-0.048142730338421,-0.65129404227427,-1.131145861337489,0.335697124580796,2.177038323156852,2.302943192702273,-1.700239343817314,-0.23687116235943378,-11.791921366059212,8.560284604298712
Guinea,0.700997914709549,0.708538771838876,0.541738994454125,0.859032791170008,0.138625783462914,0.862700871229238,0.536104882166697,0.468523370587598,0.011716606471517,-0.709372356905806,-0.864723050463195,0.33820652317479,1.459010855469808,2.316643844954373,-1.666091324973038,-0.23214744213331945,-10.941772799234602,10.438211991914304
Equatorial Guinea,-0.150114712484307,2.633089060995537,1.206783525492706,-0.585758338063563,0.19499354939103,0.636546448672933,0.923127442712147,0.669244072965901,-0.31285963496634,-0.573830983511561,-1.350693185619587,0.290456634104103,2.782260573662116,0.496341320059718,-1.498196898988679,-0.23319581206564194,10.341983767639414,1.7123370859731923
Botswana,0.517082249531185,-1.032340514303585,-0.930315609393728,0.960161912526164,-1.018095125889557,0.471727128338882,-0.875328256477044,-0.68190095778454,-0.33341887244079,-0.661383005989762,-0.175501595795876,0.013038034613076,-0.710909883333786,0.713272298994463,-1.48965989427761,-0.23049169495366914,23.81502777876019,-22.18200337549253
Congo DRC,0.129423460867472,0.478908096239505,1.114712375911496,0.296552402479784,-0.357144687699531,0.640378786828815,0.240450253039946,0.266085579372356,0.047583650311457,-0.675813548305649,-1.066388013708667,-0.339112919797964,2.271677724483476,2.222730962001378,-1.475431553092494,-0.2128148827826315,23.65500570540741,-2.87623474494763
Cameroon,0.110150293011857,0.937058392802225,0.869086564541039,0.208808884622692,-0.285508432557719,0.67663645849556,0.604297779753617,0.19040890067656,-0.095278276258951,-0.603986514999516,-0.973010123611245,0.184116546530457,2.117534866688256,1.456639466824801,-1.474008718973983,-0.21891975300621822,12.743594116842749,5.685952285483782
Zambia,0.184361971060508,-0.168389899562374,0.240545786664783,0.993731977983038,-1.208391114245512,0.365482057219384,-0.812866859487339,0.341600241445076,0.020168488236104,-0.731319923933855,-1.272542046546362,-0.776975462497189,0.277468026129895,1.460944202112829,-1.461203211907379,-0.22717179600929818,27.798249673388998,-13.453018168629407
Nigeria,0.823997921305619,0.070044699021591,-0.119949970777503,0.632284023443279,0.33190500468551,0.958225304708563,0.436792803611983,0.485286993803584,0.115260471189789,-0.6318005107814,-0.951903777049176,0.931028013736739,1.853357290404326,1.649736327655367,-1.437015031892684,0.00038720165163869433,8.105306399792427,9.59396011757417
Burkina Faso,1.249095446537332,-0.64342148269227,-0.715556948752575,1.183963942738381,0.37295988844633,1.173246740107627,0.237082902217045,0.322779993057655,-0.23073533705702,-0.724426791503612,-0.756902447630589,1.264415318142258,0.945979957948553,1.129285752206933,-1.425632358944591,-0.23084124532711944,-1.7401409174732692,12.277929379003
South Sudan,1.055697885188387,-0.202754550296928,0.204720434969913,0.820571760686719,-0.058748724536179,1.088617200978425,0.012042441555066,0.23370500835161,-0.112087307912545,-0.678892113916801,-0.745528030724261,-0.06162291826552,0.811438339102556,1.558394171797713,-1.412826851877988,-0.23688961018383287,30.320241356317258,7.278667677521693
Mali,1.293183036068019,-1.088614019550749,-1.426428187461163,1.611858332314618,0.352062379105815,1.137272753493911,-0.219293352922473,-1.132347693849633,-0.461747580707916,-0.743945008845129,-0.57780663262617,2.697033948057166,-0.011547075303761,-0.082544685334226,-1.411404017759477,-0.23021212222990775,-3.524422413851247,17.35027936574131
Angola,0.199166306392314,-0.128787398696583,0.305239816834241,0.824719969109974,-1.057526789723045,0.453411584307601,0.042856428698687,0.279433868010217,0.346045775216751,-0.708115252099764,-1.304236255633783,-0.357326038745955,1.303916985707526,2.127535652664524,-1.374410330678177,-0.2031709709339748,17.54467598707206,-12.29528590446397
