AREASQKM21,cnt,density,index,pop_den,rain,ndvi,lst,ntl,nat_rto,crop_rto,resid_rto,x,y
21337.9778,6182,-0.379313371,44,-0.323644258,3.27183742,2.245756018,-0.612762391,-0.36140964,1.023486914,-0.069948519,-0.825485351,145.5092266,-17.62674619
1857.7774,3572,-0.214321118,45,0.30176475,2.03149682,2.120318733,-1.138764292,0.408726971,-0.156017848,-0.212746195,0.106404607,153.2706836,-28.01307189
6681.1781,3370,-0.357622635,46,-0.246727571,0.684052796,1.401676637,-0.973330274,-0.227530237,0.092886609,1.057381947,-0.632849944,152.5506637,-27.61020502
2586.163,2485,-0.311501767,47,-0.0796907,0.867959094,1.626710437,-1.029210191,-0.088253679,0.093117916,0.692393341,-0.284094629,152.9639699,-27.99892665
4344.4557,2422,-0.35225864,48,-0.230932183,1.166805388,1.875936783,-1.074861999,-0.279856226,0.462884041,0.503587804,-0.666826105,152.5814815,-26.87021017
773.3947,1911,-0.158933656,49,0.178927875,1.502620234,2.077156658,-0.991225999,0.087330564,-0.233793438,-0.39756831,0.082194036,152.8597438,-27.26927263
3085.911,3428,-0.296349228,50,-0.107988893,2.347791745,2.378467682,-1.016833911,-0.190451049,0.103970037,0.098459445,-0.238094428,152.9090055,-26.58905755
2258.7953,2241,-0.308345533,51,-0.198918624,0.438266566,1.280890796,-1.156077217,-0.217911461,0.21472289,0.860121194,-0.529675433,152.0841238,-27.61659643
48502.6725,4099,-0.400046641,52,-0.335209301,0.547212798,1.304287609,-0.882073583,-0.372641277,0.464995206,0.933591985,-0.826162328,151.7863768,-25.62551164
1497.2718,3174,-0.19440416,53,0.098589932,0.321956149,1.585704018,-1.947598364,0.034398185,-0.507741023,1.670475404,-0.313111021,138.8374673,-34.97127466
939.9938,2022,-0.19124958,54,0.675124647,-0.317537775,0.529237509,-1.46517645,0.880358778,-0.89354507,1.296052095,0.162288985,138.6649075,-34.68721438
663.0817,2816,0.020496907,55,0.885420742,0.056329885,1.172278653,-1.829174896,0.548977274,-0.736498185,1.087826162,0.167932424,138.5714503,-35.14283768
159.5386,974,0.208248356,56,2.889633022,-0.437962536,-0.125160777,-1.537531233,4.172977013,-0.911262578,-0.504885114,1.312182589,138.5301832,-34.87483113
37716.3849,3183,-0.400058541,57,-0.341854611,-0.565377369,0.161782813,-1.3269516,-0.375468108,-0.22044658,2.441018462,-0.87152117,138.4461664,-33.65754334
24802.4119,3840,-0.392942534,58,-0.333216196,0.720879791,2.022305143,-1.8043575,-0.356159131,0.617400121,0.43134464,-0.846579933,116.009248,-33.9548497
1032.8629,1130,-0.298047502,59,-0.154566608,0.541286822,1.02263692,-1.026884853,-0.100211662,-0.549089814,1.800588536,-0.525800184,115.8305799,-32.63233791
92.2541,1273,0.985590658,60,3.590016188,0.311957724,0.437238481,-1.053472455,5.570113425,-0.755343922,-0.504885114,1.109850087,115.8098936,-31.95618018
1762.4319,1915,-0.298803214,61,-0.047955483,0.431436164,1.089346836,-1.084761382,0.130444832,0.111380493,0.165711126,-0.305978505,116.1340253,-31.80842071
884.0128,1473,-0.240232955,62,0.977758926,0.288678676,0.460382344,-0.918132617,1.251133509,-0.666667161,0.472313724,0.1652995,115.7696615,-31.66216925
2023.9919,2519,-0.282839231,63,0.161575638,0.804477119,1.376364664,-1.257042276,0.591008664,0.308993359,-0.183291299,-0.054821008,116.0628945,-32.20670457
621.0185,1615,-0.145835183,64,1.000737004,0.377025331,0.497095042,-1.016424317,2.178225856,-0.89498223,-0.41842251,0.892872581,115.8003868,-32.22379044
1695.3611,2682,-0.248750426,65,-0.056365446,0.223586658,1.878709491,-2.750995749,-0.168962454,-0.184378201,0.351197026,-0.004522883,147.4376017,-42.83107346
19975.336,3334,-0.391721803,66,-0.332263858,0.786447391,2.18902811,-2.823460009,-0.365193355,0.496320069,0.836003667,-0.80792723,147.4579211,-41.36134626
23822.0525,3437,-0.394008013,67,-0.345044292,1.597922202,2.110936626,-3.17118439,-0.377222509,0.846511847,0.119098327,-0.830697288,146.8643225,-42.6313696
22524.7897,2811,-0.395976415,68,-0.337497766,3.06730279,2.586151848,-3.079088811,-0.370885932,0.991767374,0.207057521,-0.847552795,145.479465,-41.62929222
3167.7034,2105,-0.34144508,69,-0.258567651,2.776844106,1.374820664,0.850517151,-0.095585057,-0.717440915,-0.44272464,-0.500806786,131.1071062,-12.52303831
2358.133,4236,-0.227091154,70,0.016751852,0.600396262,1.293368037,-2.413925814,0.198963634,0.678939929,0.087012447,-0.577487484,149.0025009,-35.48869681
255.742,883,-0.059739454,71,-0.316214416,1.425615252,2.642445628,-0.829283571,-0.312799925,-0.462589218,-0.504885114,-0.85092993,128.310657,-20.76026784
6511.3971,3035,-0.361491924,72,-0.328808619,0.321017046,1.57009807,-2.408817697,-0.362793569,0.179789415,0.78046427,-0.727091768,149.6012802,-35.44937217
14284.5857,2953,-0.38769851,73,-0.345431123,0.339231841,1.242537439,-2.520199125,-0.38246258,0.445286716,1.17445817,-0.881914413,148.9414958,-36.43952408
9864.4876,3937,-0.368261052,74,-0.331913021,0.675050789,1.815424007,-2.115097293,-0.376466455,1.086151412,-0.098417017,-0.824379135,149.8063589,-36.49924856
9099.9087,2488,-0.380961146,75,-0.339827384,0.28499039,1.80324466,-2.283988634,-0.368698211,-0.032233542,1.761265992,-0.831120572,149.6054583,-34.51812739
12135.8653,2270,-0.389686635,76,-0.341745694,0.205237463,1.592850509,-1.94208931,-0.376658157,-0.501922924,2.816246572,-0.84077769,148.6799228,-34.58074727
6984.1829,2297,-0.375356023,77,-0.333599285,0.396087649,1.772500363,-2.285388807,-0.363186857,0.038833531,1.475840488,-0.850332706,149.6383152,-33.63043369
41000.7206,2479,-0.402476393,78,-0.345396475,-0.280148664,0.945649462,-1.333977542,-0.37979885,-0.596505979,2.868431997,-0.884367662,147.4703345,-33.32603087
16044.6243,3908,-0.383975916,79,-0.341995222,0.391331467,1.579955625,-2.017304717,-0.370654298,0.47555945,0.529596108,-0.84630779,149.8434023,-32.73346208
6267.5322,1768,-0.380084221,80,-0.327606509,0.353518871,1.756967809,-1.969264693,-0.357893275,-0.292916473,2.416454711,-0.835309007,148.9318792,-33.2706497
29738.3906,2813,-0.399028128,81,-0.343166283,0.071635684,1.259785303,-1.456097228,-0.376334344,-0.030917615,1.945634808,-0.871385665,148.8397784,-31.85905793
5597.0037,1697,-0.377951434,82,-0.323680195,0.179682991,1.605890132,-1.724170767,-0.349087305,-0.51563673,2.764630559,-0.832063992,147.1758004,-35.76673715
28231.6033,1955,-0.401588665,83,-0.345095291,-0.560250682,0.603667252,-1.275626623,-0.38064362,-0.322352144,2.415376827,-0.880029151,145.0880274,-35.39474876
16395.6494,3229,-0.388687028,84,-0.343345674,0.747034007,1.856160818,-2.181376896,-0.380725398,0.386528719,1.039533866,-0.88079531,151.7460468,-30.73027344
30566.4425,4556,-0.393525641,85,-0.345646506,0.543722988,1.359056659,-1.578464584,-0.383102134,0.51769677,0.758859834,-0.887752876,151.3459906,-29.44965733
32022.7204,2962,-0.399239768,86,-0.346677859,0.010689685,0.547795396,-1.002413571,-0.38039096,-0.299414968,2.215291705,-0.888311653,149.6361799,-29.65181358
20155.0876,3193,-0.392579019,87,-0.339406599,0.300764802,1.387755562,-1.602650924,-0.371233016,-0.016727732,1.84756239,-0.866848106,150.5640431,-31.08340144
28859.6888,1985,-0.401635907,88,-0.344710999,-0.545104629,0.520713124,-1.159795602,-0.378262704,-0.334342139,2.439623238,-0.884675439,145.8484233,-34.07065358
9174.7261,2266,-0.383631165,89,-0.344872015,1.172603556,1.845039891,-2.411269261,-0.377806308,0.675195833,0.790737043,-0.886293134,148.2419217,-35.73391368
18950.5656,2079,-0.397500978,90,-0.337238627,-0.090535446,1.194684665,-1.589563412,-0.368247906,-0.788930759,3.339276174,-0.858617254,147.4451749,-34.91336421
38139.6815,3470,-0.399392884,91,-0.344856787,-0.396141218,0.759169463,-1.786375577,-0.381962065,-0.427784179,2.566104273,-0.868763177,142.1011096,-36.55431753
22081.9206,1889,-0.399942141,92,-0.34310488,-0.809262218,-0.069262249,-1.199026314,-0.378733431,0.304659356,1.180238023,-0.879538638,141.6828832,-34.86921778
17851.3822,1740,-0.398737154,93,-0.34362967,-0.685114063,0.211265784,-1.309343737,-0.382354065,-0.801323273,3.389304717,-0.877711103,143.2135352,-35.60889377
16653.3006,2402,-0.394012298,94,-0.342762207,0.11785609,0.585468793,-1.033743412,-0.373465326,-0.172499097,2.257818168,-0.869925156,151.3658383,-27.37073364
8432.5913,3025,-0.372340995,95,-0.337622358,0.331855297,1.075076459,-1.417518243,-0.376216155,0.230546976,1.414433184,-0.836511481,151.8873678,-28.32187284
